Keyword Stats 2026-01-09 at 07_34_16
"December 1, 2024 - November 30, 2025"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Dec 2024	Searches: Jan 2025	Searches: Feb 2025	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025
nauka angielskiego korepetycje	INR	50	0%	0%	High	77	53.50	508.17																	
angielski native speaker	INR	500	0%	0%	Medium	51	174.87	1633.10																	
lekcje języka angielskiego	INR	500	0%	0%	Medium	57	81.80	770.14																	
nauka angielski online	INR	5000	0%	0%	High	75	111.63	848.96																	
nauka języka angielskiego wrocław	INR	50	900%	900%	Low	10	120.48	461.84																	
korepetycje z języka angielskiego online	INR	50	0%	0%	Low	29	140.66	950.29																	
konwersacje online angielski	INR	50	0%	0%	High	79	334.34	1948.82																	
kurs angielskiego wroclaw	INR	50	0%	0%	Medium	46	169.39	498.68																	
korepetycje wroclaw	INR	50	-90%	0%	Medium	51	31.58	150.00																	
zdalna nauka angielskiego	INR	50	0%	0%	High	71	131.42	759.83																	
kurs języka angielskiego wrocław	INR	500	0%	0%	Low	19	115.54	445.21																	
native speaker online angielski	INR	50	0%	0%	High	81	260.95	2068.65																	
lekcje języka angielskiego online	INR	50	0%	0%	Low	27	134.85	885.87																	
konwersacje online	INR	50	0%	0%	High	73	215.30	1196.44																	
native speaker business english	INR	50	0%	0%	Low	32	259.45	1633.05																	
business english native speaker	INR	50	0%	0%	Low	21	231.26	1385.51																	
nauka języka online	INR	500	0%	0%	Medium	58	71.12	509.77																	
nauka angielskiego native speaker	INR	50	0%	0%	Medium	57	272.00	1274.79																	
lekcje z angielskiego online	INR	50	0%	0%	High	79	207.36	1090.44																	
ucz angielskiego online	INR	50	0%	0%	High	88	78.14	298.96																	
native speaker lekcje online	INR	50	0%	0%	High	79	182.76	677.46																	
korepetycje z języka angielskiego	INR	500	0%	0%	Medium	60	55.64	475.39																	
online kurs angielskiego	INR	50	0%	0%	High	95	137.06	824.51																	
lekcje angielskiego online dla dzieci	INR	500	0%	0%	Medium	48	559.97	2927.69																	
z angielskiego	INR	500	0%	0%	Low	5	25.03	109.62																	
native speaker nauka angielskiego	INR	50	0%	0%	High	87	133.24	546.92																	
język angielski nauka online	INR	50	0%	0%	Medium	44	123.75	780.31																	
korepetycje język angielski online	INR	500	-90%	0%	High	79	126.81	807.88																	
angielski online nauka	INR	50	0%	0%	High	70	310.33	1031.84																	
korepetycje native speaker	INR	50	0%	0%	High	81	123.89	1010.11																	
wrocław korepetycje	INR	50	0%	0%	Medium	35	16.63	142.74																	
uczenie angielskiego online	INR	50	0%	0%	High	76																			
ielts toefl	INR	50	0%	0%	Medium	56	27.68	119.53																	
online korepetycje	INR	50	0%	0%	High	79	108.61	476.03																	
toefl online	INR	50	0%	0%	High	70	14.65	151.67																	
angielski lekcje online	INR	500	0%	0%	Medium	52	212.24	1331.51																	
native angielski	INR	50	0%	0%	High	79	164.75	1455.74																	
język angielski	INR	50000	0%	0%	Medium	44	48.61	304.59																	
kurs z angielskiego online	INR	50	0%	0%	Medium	44	153.31	707.57																	
speaker angielski	INR	50	0%	0%	High	70	154.19	892.95																	
business english korepetycje	INR	50	0%	0%	Medium	60	238.07	1908.58																	
angielski nauka	INR	5000	-90%	-90%	High	91	53.92	344.97																	
korepetycje angielski online dla dzieci	INR	50	0%	0%	Low	30	176.01	2064.86																	
native speaker angielski wrocław	INR	50	0%	0%	Medium	54	103.53	511.50																	
angielski zdalnie	INR	50	0%	0%	Medium	54	140.58	997.50																	
business english kurs	INR	500	0%	0%	Medium	59	210.92	985.93																	
korepetycje angielski native speaker	INR	50	0%	0%	Medium	60	133.24	953.20																	
nauka angielskiego online dla dzieci	INR	500	0%	0%	Medium	63	268.74	2172.85																	
angielski konwersacje	INR	500	0%	0%	High	100	108.31	929.51																	
nauka jezyka angielskiego wroclaw	INR	50	0%	0%	High	81																			
ielts kurs	INR	500	0%	0%	Medium	54	123.90	651.80																	
angielski online konwersacje	INR	50	0%	0%	High	85	191.40	1352.21																	
wrocław nauka angielskiego	INR	50	0%	0%	High	97	116.82	489.44																	
angielski kurs	INR	500	0%	0%	High	88	115.24	574.59																	
lekcje online angielski dla dzieci	INR	50	0%	0%	High	79	409.63	2321.81																	
język angielski kurs online	INR	50	-90%	0%	High	93	112.35	660.68																	
korepetycje język angielski	INR	500	-90%	0%	Medium	61	52.04	500.04																	
angielski online kurs	INR	50	0%	0%	Low	30	178.84	828.65																	
ucz sie angielskiego online	INR	50	0%	0%	High	70	107.10	525.64																	
angielski online native	INR	50	0%	0%	Low	26	398.82	2028.47																	
konwersacje z angielskiego online	INR	50	0%	0%	Low	26	204.88	1499.47																	
business english kurs online	INR	500	0%	900%	Low	27	223.17	638.05																	
toefl kurs	INR	50	0%	0%	Low	28	49.05	324.23																	
nauka języka	INR	500	0%	0%	Medium	52	42.71	189.44																	
język angielski nauka	INR	500	0%	0%	High	67	41.41	237.57																	
najlepsza nauka angielskiego online	INR	50	0%	0%	High	100	146.52	950.76																	
lekcje jezyka angielskiego	INR	50	0%	0%	Low	33	172.11	1408.37																	
angielski lekcje	INR	500	0%	0%	Medium	63	81.95	862.46																	
angielski korepetycje wroclaw	INR	50	0%	0%	High	91	23.53	265.07																	
angielski korepetycje native speaker	INR	50	0%	0%	High	86	248.33	2985.96																	
korepetycje z angielskiego native speaker	INR	50	0%	0%	High	80	283.80	1748.10																	
język angielski konwersacje online	INR	50	0%	0%	Low	14																			
online lekcje	INR	50	0%	0%	High	72	92.84	287.86																	
kurs z angielskiego	INR	500	0%	0%	High	74	101.06	452.97																	
angielski wrocław native speaker	INR	50	0%	0%	High	73	105.58	973.20																	
język angielski lekcje online	INR	50	0%	0%	Low	29	152.94	996.60																	
business english online kurs	INR	50	0%	0%	Low	18	230.28	1292.95																	
konwersacje z angielskiego	INR	50	0%	0%	High	96	129.19	1029.21																	
wrocław kurs angielskiego	INR	50	0%	0%	Low	20	106.22	252.61																	
certyfikat angielski	INR	5000	0%	0%	Medium	57	18.18	96.27																	
nauczyciel języka angielskiego online	INR	50	0%	0%	High	83	92.47	1098.60																	
native speaker dla dzieci online	INR	50	0%	0%	High	81	188.16	1577.28																	
nauka języka angielskiego online dla dzieci	INR	50	0%	0%	High	80	201.56	1737.58																	
kurs online języka angielskiego	INR	50	0%	0%	High	90	164.22	813.92																	
angielskie online	INR	50	0%	0%	High	73	224.45	1669.83																	
nauczyciel angielskiego wrocław	INR	50	0%	0%	Medium	51	36.09	362.49																	
kurs ielts	INR	500	0%	0%	Medium	54	123.90	651.80																	
ielts kurs online	INR	50	0%	0%	Low	33	141.57	660.02																	
certyfikat z angielskiego	INR	5000	-90%	-90%	Medium	65	17.31	93.72																	
korepetycje z języka angielskiego wrocław	INR	50	0%	0%	Low	17	83.69	237.67																	
kurs angielskiego wrocław dla dorosłych	INR	500	0%	900%	Medium	42	93.72	379.92																	
nauka angielskiego online native speaker	INR	50	0%	0%	Low	12	270.08	1239.68																	
business english wrocław	INR	50	0%	0%	Medium	61	168.20	536.41																	
lekcje z angielskiego	INR	50	0%	0%	Medium	45	101.73	615.84																	
nauka online języka angielskiego	INR	50	0%	0%	High	76																			
ielts wrocław	INR	50	0%	0%	Medium	57	25.24	257.94																	
korepetytor online	INR	50	0%	0%	High	78	34.21	175.61																	
kurs angielski	INR	5000	0%	0%	High	92	97.85	500.55																	
native speaker lekcje	INR	50	0%	0%	High	86	178.16	1247.35																	
darmowe lekcje angielskiego online	INR	50	0%	0%	High	80	48.61	283.12																	
korepetycje z angielskiego wroclaw	INR	50	0%	0%	High	90	92.55	739.13																	
kurs online angielski dla dzieci	INR	50	0%	0%	High	84	370.91	1818.43																	
angielski kursy online	INR	500	0%	0%	High	72	139.87	776.94																	
szkola jezyka angielskiego wroclaw	INR	50	-90%	0%	High	79	90.87	295.43																	
nauka ang online	INR	50	0%	0%	Low	15	122.88	644.71																	
angielski native	INR	50	0%	0%	High	79	468.14	2392.93																	
nauka angielskiego speaking	INR	50	0%	0%	Low	22																			
nauczanie angielskiego online	INR	50	0%	0%	High	94	99.75	839.88																	
jezyk angielski wroclaw	INR	50	0%	0%	High	73	166.18	580.05																	
zajecia z angielskiego	INR	500	0%	0%	Medium	62	122.00	682.18																	
jezyk angielski online kurs	INR	50	0%	0%	Medium	36																			
kurs z języka angielskiego online	INR	50	0%	0%	High	88	133.35	662.91																	
kurs ang online	INR	50	0%	0%	High	90	152.94	556.76																	
szkola jezyka angielskiego online	INR	50	0%	0%	High	98	298.61	1354.07																	
online nauka	INR	50	0%	0%	Medium	63	61.27	153.34																	
nauka angielskiego w domu	INR	500	0%	0%	High	84	47.28	347.07																	
kursy z języka angielskiego online	INR	50	0%	0%	High	88	133.35	662.91																	
kursy jezyka angielskiego online	INR	500	0%	0%	Medium	66	201.13	1125.76																	
native speaker języka angielskiego	INR	50	0%	0%	Medium	57	134.14	2482.93																	
ucz się angielskiego	INR	50	0%	-90%	High	75	41.52	175.58																	
zdalne lekcje angielskiego	INR	50	0%	0%	Medium	64	72.92	1092.93																	
kurs angielskiego online indywidualny	INR	50	0%	0%	Medium	41	159.81	791.34																	
native speakerzy	INR	500	0%	0%	Medium	47	151.23	1094.73																	
kurs jezyka angielskiego wroclaw	INR	50	0%	0%	High	100																			
angielski z nativem	INR	50	0%	0%	Low	21	268.31	1958.10																	
nauka angielskiego w internecie	INR	50	0%	0%	High	91	43.77	153.73																	
język angielski kurs	INR	500	0%	0%	High	87	66.87	526.41																	
toefl kurs online	INR	50	0%	0%	Low	27	81.14	374.51																	
kurs business english online	INR	50	0%	0%	Low	25	249.70	853.30																	
kurs język angielski	INR	5000	0%	0%	High	93	91.20	450.14																	
nauka angielskiego konwersacje	INR	50	0%	0%	Low	9	41.30	1187.46																	
poziom angielskiego	INR	5000	0%	0%	Medium	34	0.99	58.37																	
konwersacje angielski native speaker	INR	50	0%	0%	Low	25	71.56	624.34																	
najlepsze korepetycje	INR	50	0%	0%	Low	5																			
przygotowanie do ielts	INR	50	0%	0%	Medium	47	126.01	834.55																	
korepetycje angielski z dojazdem do ucznia	INR	50	-90%	-90%	Medium	60	28.38	230.01																	
nauka języka angielskiego korepetycje	INR	50	0%	0%	High	78	70.15	228.72																	
nauka angielskiego online od podstaw	INR	50	0%	0%	High	71	83.73	741.03																	
jezyk angielski nauka online	INR	50	0%	0%	Medium	44	123.75	780.31																	
nauka języka angielskiego przez internet	INR	50	0%	0%	Medium	58	59.05	327.70																	
ielts 7.5	INR	50	0%	0%	High	100	30.91	222.37																	
lekcje jezyka	INR	50	0%	0%	Low	17	57.20	894.87																	
konwersacje native speaker	INR	50	0%	0%	Medium	40	426.73	1940.99																	
nauka angielskiego lekcje	INR	50	0%	0%	Medium	45	13.21	1334.21																	
nauczyciel angielskiego native speaker	INR	50	0%	0%	High	86	247.39	2690.50																	
cena lekcji angielskiego online	INR	50	0%	0%	High	70	27.63	92.42																	
korepetycje angielski native	INR	50	0%	0%	High	86	194.60	1162.60																	
konwersacja po angielsku online	INR	50	0%	0%	Medium	57																			
angielski indywidualny	INR	500	0%	900%	Medium	35	135.94	828.87																	
business english lekcje	INR	50	0%	0%	High	88	968.71	4064.99																	
język angielski biznesowy	INR	50	0%	900%	Low	33	175.20	1092.36																	
nauczyciel języka angielskiego wrocław	INR	50	0%	0%	Medium	33	2.06	40.24																	
nauka jeżyka angielskiego	INR	500	0%	0%	High	81	35.17	270.03																	
język angielski biznesowy kurs	INR	50	0%	0%	Low	28	311.06	3291.51																	
korepetytorzy online	INR	50	0%	0%	Medium	44	38.71	107.21																	
konwersacje język angielski	INR	50	0%	0%	High	91	138.74	876.18																	
zajęcia angielskiego	INR	500	0%	0%	Medium	41	143.96	922.31																	
wroclaw angielski	INR	50	0%	0%	Medium	46																			
kurs angielskiego wrocław cennik	INR	50	0%	0%	Medium	49	24.66	283.59																	
angielski biznesowy korepetycje	INR	50	0%	0%	Low	16	249.26	1389.12																	
angielski business	INR	50	0%	0%	High	100	176.14	698.01																	
język angielski konwersacje	INR	50	0%	0%	Medium	45	109.69	847.16																	
korepetytor z angielskiego	INR	50	0%	0%	Medium	54	61.12	471.92																	
kurs online angielski z certyfikatem	INR	50	0%	0%	Medium	60	42.31	399.00																	
szkoła języków obcych online	INR	50	900%	900%	Low	10	145.12	714.38																	
nauki online	INR	50	0%	0%	Low	6																			
język angielski przez internet	INR	50	0%	0%	Low	25	126.00	1035.32																	
speaker native	INR	50	0%	0%	High	83	57.49	781.44																	
ielts przygotowanie online	INR	50	0%	0%	High	90	109.49	701.45																	
najlepsza szkoła języka angielskiego online	INR	50	0%	0%	High	94	327.72	1271.71																	
z angielskiego na	INR	50	0%	0%	Low	0																			
korepetycje angielski matura online	INR	50	0%	0%	High	75	114.36	714.82																	
nauka angielskiego to be	INR	50	0%	0%	High	90	26.95	104.43																	
angielski jak się uczyć	INR	50	0%	0%	High	79	52.96	318.92																	
kurs toefl	INR	50	0%	0%	Low	23	72.82	352.78																	
korepetycje angielski trojmiasto	INR	50	0%	0%	High	80	55.83	319.44																	
english wroclaw	INR	50	0%	0%	High	80	207.87	967.80																	
zajecia online	INR	500	0%	0%	Medium	35	62.45	243.65																	
lekcje nauki angielskiego	INR	50	-100%	-100%	Unknown																				
angielski certyfikat	INR	500	0%	0%	Medium	61	25.76	157.53																	
korepetycje angielski wrocław cena	INR	50	0%	0%	High	70	4.87	139.90																	
angielski zajecia	INR	50	0%	900%	Medium	36	204.36	1029.01																	
lekcja jezyka angielskiego	INR	50	0%	0%	High	71	82.42	557.94																	
najlepszy nauczyciel angielskiego	INR	50	0%	0%	Medium	50																			
korepetycje język angielski wrocław	INR	50	0%	0%	Low	24	71.12	394.75																	
angielski dla biznesu	INR	50	0%	0%	Medium	61	165.73	3280.25																	
bezpłatna nauka angielskiego	INR	50	0%	0%	High	84	27.01	94.69																	
korepetycja online	INR	50	0%	-90%	Low	33	85.10	281.84																	
przygotowanie do ielts online	INR	50	0%	0%	Low	23	174.71	969.85																	
prywatne lekcje angielskiego wrocław	INR	50	0%	0%	Medium	66	64.39	507.76																	
angielski ćwiczenia	INR	500	-90%	0%	High	74	25.49	82.87																	
nauczanie angielskiego	INR	50	0%	0%	Medium	64	64.86	579.56																	
angielski w domu	INR	50	0%	0%	High	99	68.01	420.48																	
angielski jak się nauczyć	INR	50	0%	0%	High	79	45.40	190.62																	
kurs angielskiego konwersacje	INR	50	0%	0%	Low	20	106.08	518.78																	
kurs native speaker	INR	50	0%	0%	High	88	93.41	787.74																	
nauka angielskiego kurs	INR	50	0%	0%	Medium	36	131.06	833.48																	
angielski ćwiczenia online	INR	500	0%	0%	Medium	44	29.35	101.02																	
język angielski lekcje	INR	500	0%	0%	Low	25	34.21	767.02																	
angielski speaker	INR	50	0%	0%	High	88	130.24	765.68																	
ielts wroclaw	INR	50	0%	0%	High	72	28.43	345.34																	
korepetycje net angielski	INR	50	0%	0%	Medium	33																			
ćwiczenia angielski	INR	500	-90%	0%	High	83	31.88	109.83																	
indywidualny angielski	INR	50	0%	0%	High	94	158.84	684.21																	
kurs języka angielskiego online dla początkujących	INR	50	0%	0%	High	86																			
kursy językowe wrocław	INR	50	0%	0%	Low	23	57.49	196.20																	
lekcje online angielski cena	INR	50	0%	0%	High	81	198.06	376.56																	
kurs jezyka online	INR	500	0%	0%	Medium	45	101.29	500.55																	
angielski online z nauczycielem	INR	50	0%	0%	High	89	230.88	1423.47																	
najlepszy angielski online	INR	50	0%	0%	High	85	135.74	898.81																	
nauka z	INR	50	0%	0%	Low	3																			
korepetycje z języka	INR	50	0%	0%	Medium	46	48.60	217.94																	
szkoły angielskiego	INR	5000	0%	0%	Medium	37	144.52	773.45																	
kurs nauki angielskiego online	INR	50	0%	0%	High	100	100.47	509.93																	
ćwiczenia z angielskiego	INR	500	0%	0%	High	92	25.87	90.66																	
korepetycje przez internet	INR	50	0%	0%	Medium	66	45.63	140.57																	
kurs jezyka angielskiego wrocław	INR	50	0%	0%	High	84	142.93	702.58																	
korepetycje angielski matura	INR	50	-90%	0%	High	80	82.49	402.64																	
angielski szkola	INR	500	0%	0%	Low	31	92.81	726.16																	
certyfikat angielski online	INR	50	0%	0%	High	78	35.96	177.67																	
nauka angielskiego youtube	INR	500	0%	0%	Low	15	23.17	104.51																	
lekcje z jezyka angielskiego	INR	50	0%	0%	Medium	52	97.08	710.46																	
kurs angielskiego certyfikat	INR	50	0%	0%	High	84	66.06	193.24																	
live in wroclaw	INR	50	0%	0%	Low	4																			
angielski do nauki	INR	50	0%	0%	High	96	61.18	205.64																	
angielski mówienie	INR	50	0%	0%	High	80	44.16	338.50																	
angielski dla programisty	INR	50	-100%	-100%	Unknown																				
ielts certyfikat	INR	50	-90%	0%	Medium	64	17.78	127.55																	
konwersacje jezyk angielski	INR	50	0%	0%	High	91	138.74	876.18																	
angielski prywatnie	INR	50	0%	0%	Medium	39	80.47	550.97																	
szkoła języków obcych wrocław	INR	50	0%	0%	Low	17	93.75	259.29																	
darmowa nauka angielskiego online	INR	50	0%	0%	High	87	37.81	170.15																	
kurs maturalny angielski online	INR	50	0%	0%	Low	14	95.62	285.24																	
angielski biznesowy konwersacje	INR	50	0%	0%	High	89	292.36	1778.91																	
ielts kursy	INR	50	0%	0%	High	98	245.34	868.80																	
kurs ielts wrocław	INR	50	0%	0%	Low	4																			
angielski matura online	INR	50	0%	0%	Low	33	37.28	185.63																	
certyfikat z angielskiego online	INR	50	0%	0%	High	81	41.06	151.23																	
bbc nauka angielskiego	INR	50	0%	0%	Medium	53	25.21	127.51																	
angielski w internecie	INR	50	0%	0%	Medium	36	84.69	526.17																	
konwersacja angielski	INR	500	0%	0%	High	70	129.97	1320.70																	
kurs angielskiego usa	INR	50	0%	0%	High	77	71.64	370.01																	
business angielski	INR	50	0%	0%	High	99	109.83	285.68																	
angielski wrocław krzyki	INR	50	0%	0%	Low	0																			
kursy business english	INR	500	0%	0%	Low	9	153.83	2368.62																	
kurs angielskiego online certyfikat	INR	50	0%	0%	High	100	117.32	417.60																	
pierwsza lekcja angielskiego	INR	50	-90%	0%	Medium	45	27.22	128.19																	
lekcje indywidualne online	INR	50	0%	0%	Medium	53	54.61	272.73																	
nauczyciel angielskiego online praca	INR	50	0%	0%	Medium	42	3.52	62.90																	
toefl przygotowanie	INR	50	-90%	0%	High	73	57.43	391.62																	
jezyka angielskiego	INR	500	0%	0%	Low	12																			
kursy ielts	INR	50	0%	0%	Low	17	92.58	399.81																	
wrocław angielski	INR	50	0%	0%	Low	3																			
przygotowanie do toefl	INR	50	0%	0%	Low	27	47.36	801.24																	
angielski w mowie	INR	50	0%	0%	High	100	62.47	269.14																	
angielski business english	INR	50	0%	0%	High	100	110.03	1374.39																	
nauczanie języka angielskiego	INR	50	0%	0%	Medium	35	121.41	466.66																	
lekcje online po angielsku	INR	50	0%	0%	High	71	243.27	730.81																	
angielski pierwsza lekcja	INR	50	0%	0%	High	71																			
english toeic	INR	50	0%	0%	Low	31																			
nauka business english	INR	50	0%	0%	Medium	51	108.38	500.55																	
korepetycje jezyk angielski wroclaw	INR	50	0%	0%	High	90	81.86	469.62																	
lekcje 30 minut	INR	50	0%	0%	Low	0																			
nauka języka angielskiego w internecie	INR	50	0%	0%	Medium	38																			
angielski live	INR	50	0%	0%	Medium	43																			
nauczyciel angielskiego praca	INR	500	0%	0%	Medium	41	1.23	9.53																	
native speaker usa	INR	50	0%	0%	Medium	57	100.90	687.89																	
angielskie konwersacje	INR	500	0%	0%	High	100	108.31	929.51																	
nauczyciel od angielskiego	INR	50	0%	0%	Medium	42	95.53	562.49																	
lekcja angielski	INR	50	0%	0%	Medium	65	75.40	425.02																	
lekcje przez internet	INR	50	0%	0%	High	71	73.07	179.52																	
wymowa angielskiego	INR	500	0%	0%	Low	21	26.12	76.77																	
bezpłatna nauka języka angielskiego online	INR	50	0%	0%	High	91	50.42	182.20																	
uczyć się angielskiego	INR	50	0%	0%	Medium	46	24.55	158.40																	
angielski trojmiasto	INR	50	0%	0%	High	100	330.40	751.73																	
prywatne lekcje jezyka angielskiego	INR	50	0%	0%	Medium	52																			
certyfikat z angielskiego wrocław	INR	50	0%	0%	High	86																			
bezpłatna nauka angielskiego online	INR	50	0%	0%	High	95	51.32	281.82																	
angielski net	INR	50	900%	900%	Medium	42	36.88	101.18																	
angielski nauczyciel	INR	50	0%	0%	High	69	68.25	296.03																	
kurs angielskiego matura	INR	50	0%	0%	High	99	67.28	312.03																	
kurs językowy wrocław	INR	50	0%	0%	High	71	61.56	284.49																	
szkoła języka	INR	500	0%	900%	Low	16	94.10	380.82																	
korepetycje angielski konwersacje	INR	50	0%	0%	Medium	50																			
ucze sie angielskiego	INR	50	0%	-90%	High	96	28.81	95.59																	
chorwacki online	INR	50	0%	0%	Medium	49	27.01	133.24																	
angielski do pracy	INR	50	0%	0%	Medium	33	120.39	605.42																	
przelam bariere	INR	50	0%	0%	Low	17	63.02	195.27																	
kurs angielskiego ielts	INR	50	0%	0%	Low	12	108.26	319.28																	
korepetycje online angielski praca	INR	50	0%	0%	High	70	6.60	69.87																	
kurs jezykowy angielski	INR	50	0%	0%	High	100	232.14	632.89																	
lekcje angielskiego konwersacje	INR	50	0%	0%	Medium	51	244.45	3195.08																	
matura rozszerzona angielski online	INR	50	0%	0%	Low	24	37.30	136.84																	
praca nauczyciel angielskiego wrocław	INR	50	0%	0%	Medium	46	1.23	6.09																	
angielski wymowa online	INR	50	0%	0%	Medium	59	25.74	101.51																	
przełam barierę	INR	50	0%	0%	Low	17	63.02	195.27																	
nauka angielskiego w usa	INR	50	0%	0%	High	71	122.82	433.58																	
do języka angielskiego	INR	50	0%	0%	High	100																			
angielski online kursy	INR	50	0%	0%	Low	30	178.84	828.65																	
najlepsze kursy językowe online	INR	50	0%	0%	Medium	49	95.79	543.52																	
angielski kurs online certyfikat	INR	50	0%	0%	High	100																			
native speaker kurs	INR	50	0%	0%	High	93																			
angielski w biurze	INR	50	0%	0%	High	100	47.03	256.47																	
szkola jezyka	INR	5000	0%	0%	Medium	43	127.41	513.72																	
kurs toeic	INR	50	0%	0%	Medium	64	44.55	175.55																	
nauka angielskiego jak	INR	50	0%	0%	High	67																			
korepetycje angielski matura rozszerzona	INR	50	-90%	0%	High	93	67.37	364.05																	
business english kursy	INR	50	0%	0%	Low	0																			
kursy toefl	INR	50	0%	0%	Low	23																			
